Date Occured,Time Occured,City,State,Country,Shape,Summary,unique_id
3/5/2015,4:14,Stillwater,MN,USA,Triangle,Black triangle with 3 white lights and center red light.,51
3/9/2015,20:35,Florence,OR,USA,Other,Dark dome shaped object over house.,52
1/15/2015,2:30,"Lordsburg (E of, on I-10; 10 mi. W of AZ)",NM,USA,Triangle,"Large, unmarked, grey triangle shaped craft with bowl shaped hull underside as if to deflect heat upon re-entry under camo-net.",53
9/29/2012,6:50,Lively,VA,USA,Cylinder,"Adult male witnesses very bizarre-looking ""tube-shaped"" object in the vicinity of his home.",54
3/17/1969,20:00,Odessa,WA,USA,Disk,"Brilliant metallic, glowing disc shaped craft with red & blue lights in circle at bottom seen in Odessa, WA, 1969.",55
6/30/1967,22:00,out at sea east coast U.S.,,Internatonal Waters,Light,UFO spotted by U.S Navy ship out at sea in the year of 1967.,56
1/3/2016,23:00,Woodbury,MN,USA,Triangle,"Triangular aircraft with blue/pink lights arranged into a triangle at the base, blinking every second, quiet & hovering low in the sky.",57
9/13/2010,23:30,Hoffman,NC,USA,Triangle,"Enormous black triangle observed by soldiers training near Camp Mackall, NC.",58
2/10/2016,5:15,Lebanon,OR,USA,Orb,Large circular craft flew silently over man walking his dog.,59
4/11/2015,23:55,Hayward,CA,USA,Disk,"Large, Green UFO saucer sighted flying over San Francisco Bay.  Size:  100 Yards across!  Very clear details.",60
5/12/2016,23:20,Shanghai (China),,China,Triangle,"Triangular (V-shaped) flying object spotted in Shanghai, China near Hongqio airport (2016/05/12 @ 23:20)",61
9/18/2015,22:20,Jemez Springs,NM,USA,Diamond,Diamond shape objects flying low altitude in Jemez Springs.,62
6/6/2016,10:30,Cedarcreek,MO,USA,Cigar,"Spindle-shaped object with no wings, no sound, no vapor trail seen in clear sky in daylight.",63
8/16/2016,4:10,Edison,NJ,USA,Triangle,Lighted  Triangular Crafts sighted within minutes of each other HIGH OVERHEAD.,64
8/13/2016,21:00,Teston (UK/England),,United Kingdom,Triangle,Triangular object with white & blue lights.,65
10/11/2016,13:35,Ocean Shores,WA,USA,Circle,Saw a large white ball with tail made it look like Star Ship Enterprise clear sky.,66
12/4/2016,22:40,Huntington Beach,CA,USA,Chevron,Fast-moving craft with gray lights over suburban Huntington Beach.,67
12/10/2016,18:30,Lahaina,HI,USA,Rectangle,"White/blue bright object travelling west @ 6:30 pm over Pacific Ocean in Lahaina, HI.",68
12/15/2016,20:00,Davie,FL,USA,Egg,Ultra-Bright White Blimp like Object.  ((anonymous report)),69
6/15/1997,18:00,Borrego Springs,CA,USA,Orb,"Superstition Hill UFO sighting summer 1997  I went camping off of Old Kane Springs Road, Borrego Springs, California just south of High",70
1/28/2017,20:50,Sahuarita,AZ,USA,Formation,"Formation of steady, orange lights east of Sahuarita AZ traveling SSW.  Visible for appx. 6 minutes.",71
6/20/2015,13:30,Tulsa,OK,USA,Sphere,"It was approximately noon in southern Tulsa, and my sister, mother and I were headed back from lunch. We saw a strange coppery, round o",72
4/19/2017,23:55,Newton,AL,USA,Triangle,Silent triangle UFO.,73
